problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_2D_sto3g,5,3,657,109224,LIST,109,23,184,214731,0.012967,0.00254183,0.00042072,0,2112
H4_2D_sto3g,1736,3,657,109224,LIST,108,23,177,214572,0.012841,0.00253245,0.00042137,0,2112
H4_2D_sto3g,340955,3,657,109224,LIST,109,23,185,215190,0.013131,0.00253276,0.000424556,0,2112
H4_2D_sto3g,82674392,3,657,109224,LIST,107,23,185,213738,0.0127415,0.00250055,0.000411071,0,2112
H4_2D_sto3g,234853455,3,657,109224,LIST,109,23,184,214672,0.0129052,0.00252049,0.000420408,0,2112
H4_2D_sto3g,5,3,657,109224,LIST,109,23,184,214731,0.0127645,0.00250531,0.000417402,0,2112
H4_2D_sto3g,1736,3,657,109224,LIST,108,23,177,214572,0.0129107,0.002529,0.000424626,0,2112
H4_2D_sto3g,340955,3,657,109224,LIST,109,23,185,215190,0.0127865,0.00251869,0.00041577,0,2112
H4_2D_sto3g,82674392,3,657,109224,LIST,107,23,185,213738,0.0127727,0.00252678,0.000408777,0,2112
H4_2D_sto3g,234853455,3,657,109224,LIST,109,23,184,214672,0.0126928,0.00250696,0.000407334,0,2112
H4_2D_sto3g,5,3,657,109224,LIST,109,23,184,214731,0.0128058,0.00249622,0.00041608,0,2112
H4_2D_sto3g,1736,3,657,109224,LIST,108,23,177,214572,0.0126897,0.00254036,0.000412844,0,2112
H4_2D_sto3g,340955,3,657,109224,LIST,109,23,185,215190,0.0131937,0.00254334,0.000413325,0,2112
H4_2D_sto3g,82674392,3,657,109224,LIST,107,23,185,213738,0.0126491,0.00250847,0.000413305,0,2112
H4_2D_sto3g,234853455,3,657,109224,LIST,109,23,184,214672,0.0128364,0.00251305,0.000436278,0,2112
H4_2D_sto3g,5,3,657,109224,LIST,107,24,172,212270,0.0123899,0.00252277,0.000438433,0,2112
H4_2D_sto3g,1736,3,657,109224,LIST,106,24,176,210020,0.0124544,0.00254089,0.000444082,0,2112
H4_2D_sto3g,340955,3,657,109224,LIST,108,24,176,211746,0.0124036,0.00251251,0.000436219,0,2112
H4_2D_sto3g,82674392,3,657,109224,LIST,108,24,179,211749,0.0126763,0.00249896,0.000434966,0,2112
H4_2D_sto3g,234853455,3,657,109224,LIST,107,24,175,212388,0.0124148,0.00255669,0.000470864,0,2112
H4_1D_sto3g,5,6,689,120264,LIST,95,59,178,221418,0.0115913,0.00269733,0.0010451,0,2112
H4_1D_sto3g,1736,6,689,120264,LIST,95,59,183,218452,0.0111558,0.00267143,0.00103778,0,2112
H4_1D_sto3g,340955,6,689,120264,LIST,95,58,182,221352,0.0114515,0.00269155,0.00100527,0,2112
H4_1D_sto3g,82674392,6,689,120264,LIST,93,58,183,218640,0.0110827,0.0026667,0.00102882,0,2112
H4_1D_sto3g,234853455,6,689,120264,LIST,94,58,187,219936,0.0116462,0.00267259,0.00104019,0,2112
H4_1D_sto3g,5,4,689,120264,LIST,103,43,177,168703,0.0109265,0.0027363,0.000707216,0,2376
H4_1D_sto3g,1736,4,689,120264,LIST,102,43,182,167983,0.0109929,0.00274304,0.000699281,0,2376
H4_1D_sto3g,340955,4,689,120264,LIST,101,42,172,165610,0.0106957,0.00272793,0.000672632,0,2376
H4_1D_sto3g,82674392,4,689,120264,LIST,102,43,185,169181,0.0109438,0.00270122,0.000687138,0,2376
H4_1D_sto3g,234853455,4,689,120264,LIST,104,43,178,169363,0.0110234,0.00277441,0.000697869,0,2376
H4_1D_sto3g,5,3,689,120264,LIST,110,24,176,236486,0.0140962,0.00284445,0.000444734,0,2112
H4_1D_sto3g,1736,3,689,120264,LIST,112,24,182,238513,0.0138969,0.00278818,0.000456988,0,2112
H4_1D_sto3g,340955,3,689,120264,LIST,111,24,182,237022,0.0140138,0.00282715,0.000464181,0,2112
H4_1D_sto3g,82674392,3,689,120264,LIST,110,24,172,237036,0.0138561,0.00285298,0.000441458,0,2112
H4_1D_sto3g,234853455,3,689,120264,LIST,112,24,179,238120,0.0143243,0.00284953,0.000449943,0,2112
H4_1D_sto3g,5,3,689,120264,LIST,110,24,176,236486,0.0138263,0.00281462,0.000448782,0,2112
